Step 586, Time: 0.0515563, CPUs: 64
Step 587, Time: 0.051566, CPUs: 64
Step 588, Time: 0.0515852, CPUs: 64
Step 589, Time: 0.05159, CPUs: 64
Step 590, Time: 0.0515948, CPUs: 64
Step 591, Time: 0.0516044, CPUs: 64
Step 592, Time: 0.0516237, CPUs: 64
Step 593, Time: 0.0516249, CPUs: 64
Step 594, Time: 0.0516261, CPUs: 64
Step 595, Time: 0.0516285, CPUs: 64
Step 596, Time: 0.0516333, CPUs: 64
Step 597, Time: 0.051643, CPUs: 64
Step 598, Time: 0.0516622, CPUs: 64
Step 599, Time: 0.0516671, CPUs: 64
Step 600, Time: 0.0516719, CPUs: 64
Step 601, Time: 0.0516815, CPUs: 64
Step 602, Time: 0.0517008, CPUs: 64
Step 603, Time: 0.0517032, CPUs: 64
Step 604, Time: 0.0517056, CPUs: 64
Step 605, Time: 0.0517104, CPUs: 64
Step 606, Time: 0.0517201, CPUs: 64
Step 607, Time: 0.0517394, CPUs: 64
Step 608, Time: 0.0517442, CPUs: 64
Step 609, Time: 0.051749, CPUs: 64
Step 610, Time: 0.0517539, CPUs: 64
