Step 496, Time: 0.037821, CPUs: 64
Step 497, Time: 0.037857, CPUs: 64
Step 498, Time: 0.0378581, CPUs: 64
Step 499, Time: 0.0378592, CPUs: 64
Step 500, Time: 0.0378615, CPUs: 64
Step 501, Time: 0.0378659, CPUs: 64
Step 502, Time: 0.0378749, CPUs: 64
Step 503, Time: 0.0378929, CPUs: 64
Step 504, Time: 0.0379289, CPUs: 64
Step 505, Time: 0.037965, CPUs: 64
Step 506, Time: 0.038001, CPUs: 64
Step 507, Time: 0.0380371, CPUs: 64
Step 508, Time: 0.0380733, CPUs: 64
Step 509, Time: 0.0381094, CPUs: 64
Step 510, Time: 0.0381456, CPUs: 64
Step 511, Time: 0.0381819, CPUs: 64
Step 512, Time: 0.0382181, CPUs: 64
Step 513, Time: 0.0382544, CPUs: 64
Step 514, Time: 0.0382908, CPUs: 64
Step 515, Time: 0.038309, CPUs: 64
Step 516, Time: 0.0383272, CPUs: 64
Step 517, Time: 0.0383636, CPUs: 64
Step 518, Time: 0.0383658, CPUs: 64
Step 519, Time: 0.0383681, CPUs: 64
Step 520, Time: 0.0383727, CPUs: 64
Step 521, Time: 0.0383818, CPUs: 64
Step 522, Time: 0.0384, CPUs: 64
Step 523, Time: 0.0384365, CPUs: 64
Step 524, Time: 0.038473, CPUs: 64
Step 525, Time: 0.0385095, CPUs: 64
Step 526, Time: 0.0385461, CPUs: 64
Step 527, Time: 0.0385827, CPUs: 64
Step 528, Time: 0.0385839, CPUs: 64
Step 529, Time: 0.038585, CPUs: 64
Step 530, Time: 0.0385873, CPUs: 64
Step 531, Time: 0.0385919, CPUs: 64
Step 532, Time: 0.0386011, CPUs: 64
Step 533, Time: 0.0386194, CPUs: 64
Step 534, Time: 0.0386561, CPUs: 64
Step 535, Time: 0.0386584, CPUs: 64
Step 536, Time: 0.0386607, CPUs: 64
Step 537, Time: 0.0386653, CPUs: 64
Step 538, Time: 0.0386744, CPUs: 64
Step 539, Time: 0.0386928, CPUs: 64
Step 540, Time: 0.0387296, CPUs: 64
Step 541, Time: 0.0387664, CPUs: 64
Step 542, Time: 0.0388032, CPUs: 64
Step 543, Time: 0.0388216, CPUs: 64
Step 544, Time: 0.03884, CPUs: 64
Step 545, Time: 0.0388769, CPUs: 64
Step 546, Time: 0.0389139, CPUs: 64
Step 547, Time: 0.0389508, CPUs: 64
Step 548, Time: 0.0389532, CPUs: 64
Step 549, Time: 0.0389555, CPUs: 64
Step 550, Time: 0.0389601, CPUs: 64
Step 551, Time: 0.0389693, CPUs: 64
Step 552, Time: 0.0389878, CPUs: 64
Step 553, Time: 0.0390249, CPUs: 64
Step 554, Time: 0.039026, CPUs: 64
Step 555, Time: 0.0390272, CPUs: 64
Step 556, Time: 0.0390295, CPUs: 64
Step 557, Time: 0.0390341, CPUs: 64
Step 558, Time: 0.0390434, CPUs: 64
Step 559, Time: 0.039062, CPUs: 64
Step 560, Time: 0.0390991, CPUs: 64
Step 561, Time: 0.0391362, CPUs: 64
Step 562, Time: 0.0391734, CPUs: 64
Step 563, Time: 0.0391745, CPUs: 64
Step 564, Time: 0.0391757, CPUs: 64
Step 565, Time: 0.039178, CPUs: 64
Step 566, Time: 0.0391827, CPUs: 64
Step 567, Time: 0.039192, CPUs: 64
Step 568, Time: 0.0392106, CPUs: 64
Step 569, Time: 0.0392478, CPUs: 64
Step 570, Time: 0.0392502, CPUs: 64
Step 571, Time: 0.0392525, CPUs: 64
Step 572, Time: 0.0392572, CPUs: 64
Step 573, Time: 0.0392665, CPUs: 64
